y,v,y_next,v_next
6.1694,0.0000,6.1537,-0.3920
6.1537,-0.3920,6.1224,-0.7840
6.1224,-0.7840,6.0753,-1.1760
6.0753,-1.1760,6.0126,-1.5680
6.0126,-1.5680,5.9342,-1.9600
5.9342,-1.9600,5.8401,-2.3520
5.8401,-2.3520,5.7304,-2.7440
5.7304,-2.7440,5.6049,-3.1360
5.6049,-3.1360,5.4638,-3.5280
5.4638,-3.5280,5.3070,-3.9200
5.3070,-3.9200,5.1345,-4.3120
5.1345,-4.3120,4.9464,-4.7040
4.9464,-4.7040,4.7425,-5.0960
4.7425,-5.0960,4.5230,-5.4880
4.5230,-5.4880,4.2878,-5.8800
4.2878,-5.8800,4.0369,-6.2720
4.0369,-6.2720,3.7704,-6.6640
3.7704,-6.6640,3.4881,-7.0560
3.4881,-7.0560,3.1902,-7.4480
3.1902,-7.4480,2.8766,-7.8400
2.8766,-7.8400,2.5473,-8.2320
2.5473,-8.2320,2.2024,-8.6240
2.2024,-8.6240,1.8417,-9.0160
1.8417,-9.0160,1.4654,-9.4080
1.4654,-9.4080,1.0734,-9.8000
1.0734,-9.8000,0.6657,-10.1920
0.6657,-10.1920,0.5000,6.3504
0.5000,6.3504,0.7383,5.9584
0.7383,5.9584,0.9610,5.5664
0.9610,5.5664,1.1680,5.1744
1.1680,5.1744,1.3593,4.7824
1.3593,4.7824,1.5349,4.3904
1.5349,4.3904,1.6948,3.9984
1.6948,3.9984,1.8391,3.6064
1.8391,3.6064,1.9676,3.2144
1.9676,3.2144,2.0805,2.8224
2.0805,2.8224,2.1778,2.4304
2.1778,2.4304,2.2593,2.0384
2.2593,2.0384,2.3252,1.6464
2.3252,1.6464,2.3753,1.2544
2.3753,1.2544,2.4098,0.8624
2.4098,0.8624,2.4286,0.4704
2.4286,0.4704,2.4318,0.0784
2.4318,0.0784,2.4192,-0.3136
2.4192,-0.3136,2.3910,-0.7056
2.3910,-0.7056,2.3471,-1.0976
2.3471,-1.0976,2.2875,-1.4896
2.2875,-1.4896,2.2123,-1.8816
2.2123,-1.8816,2.1213,-2.2736
2.1213,-2.2736,2.0147,-2.6656
2.0147,-2.6656,1.8924,-3.0576
1.8924,-3.0576,1.7544,-3.4496
1.7544,-3.4496,1.6007,-3.8416
1.6007,-3.8416,1.4314,-4.2336
1.4314,-4.2336,1.2464,-4.6256
1.2464,-4.6256,1.0457,-5.0176
1.0457,-5.0176,0.8293,-5.4096
0.8293,-5.4096,0.5972,-5.8016
0.5972,-5.8016,0.5000,3.7162
0.5000,3.7162,0.6330,3.3242
0.6330,3.3242,0.7503,2.9322
0.7503,2.9322,0.8519,2.5402
0.8519,2.5402,0.9378,2.1482
0.9378,2.1482,1.0080,1.7562
1.0080,1.7562,1.0626,1.3642
1.0626,1.3642,1.1015,0.9722
1.1015,0.9722,1.1247,0.5802
1.1247,0.5802,1.1322,0.1882
1.1322,0.1882,1.1241,-0.2038
1.1241,-0.2038,1.1002,-0.5958
1.1002,-0.5958,1.0607,-0.9878
1.0607,-0.9878,1.0055,-1.3798
1.0055,-1.3798,0.9346,-1.7718
0.9346,-1.7718,0.8481,-2.1638
0.8481,-2.1638,0.7459,-2.5558
0.7459,-2.5558,0.6279,-2.9478
0.6279,-2.9478,0.5000,2.0039
0.5000,2.0039,0.5645,1.6119
0.5645,1.6119,0.6133,1.2199
0.6133,1.2199,0.6464,0.8279
0.6464,0.8279,0.6638,0.4359
0.6638,0.4359,0.6656,0.0439
0.6656,0.0439,0.6517,-0.3481
0.6517,-0.3481,0.6221,-0.7401
0.6221,-0.7401,0.5768,-1.1321
0.5768,-1.1321,0.5158,-1.5241
0.5158,-1.5241,0.5000,1.1497
0.5000,1.1497,0.5303,0.7577
0.5303,0.7577,0.5449,0.3657
0.5449,0.3657,0.5439,-0.0263
0.5439,-0.0263,0.5271,-0.4183
0.5271,-0.4183,0.5000,0.4862
0.5000,0.4862,0.5038,0.0942
0.5038,0.0942,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
