y,v,y_next,v_next
6.8972,0.0000,6.8815,-0.3920
6.8815,-0.3920,6.8501,-0.7840
6.8501,-0.7840,6.8031,-1.1760
6.8031,-1.1760,6.7404,-1.5680
6.7404,-1.5680,6.6620,-1.9600
6.6620,-1.9600,6.5679,-2.3520
6.5679,-2.3520,6.4581,-2.7440
6.4581,-2.7440,6.3327,-3.1360
6.3327,-3.1360,6.1916,-3.5280
6.1916,-3.5280,6.0348,-3.9200
6.0348,-3.9200,5.8623,-4.3120
5.8623,-4.3120,5.6741,-4.7040
5.6741,-4.7040,5.4703,-5.0960
5.4703,-5.0960,5.2508,-5.4880
5.2508,-5.4880,5.0156,-5.8800
5.0156,-5.8800,4.7647,-6.2720
4.7647,-6.2720,4.4981,-6.6640
4.4981,-6.6640,4.2159,-7.0560
4.2159,-7.0560,3.9180,-7.4480
3.9180,-7.4480,3.6044,-7.8400
3.6044,-7.8400,3.2751,-8.2320
3.2751,-8.2320,2.9301,-8.6240
2.9301,-8.6240,2.5695,-9.0160
2.5695,-9.0160,2.1932,-9.4080
2.1932,-9.4080,1.8012,-9.8000
1.8012,-9.8000,1.3935,-10.1920
1.3935,-10.1920,0.9701,-10.5840
0.9701,-10.5840,0.5311,-10.9760
0.5311,-10.9760,0.5000,6.8208
0.5000,6.8208,0.7572,6.4288
0.7572,6.4288,0.9986,6.0368
0.9986,6.0368,1.2244,5.6448
1.2244,5.6448,1.4345,5.2528
1.4345,5.2528,1.6290,4.8608
1.6290,4.8608,1.8077,4.4688
1.8077,4.4688,1.9708,4.0768
1.9708,4.0768,2.1182,3.6848
2.1182,3.6848,2.2499,3.2928
2.2499,3.2928,2.3659,2.9008
2.3659,2.9008,2.4663,2.5088
2.4663,2.5088,2.5509,2.1168
2.5509,2.1168,2.6199,1.7248
2.6199,1.7248,2.6732,1.3328
2.6732,1.3328,2.7109,0.9408
2.7109,0.9408,2.7328,0.5488
2.7328,0.5488,2.7391,0.1568
2.7391,0.1568,2.7297,-0.2352
2.7297,-0.2352,2.7046,-0.6272
2.7046,-0.6272,2.6638,-1.0192
2.6638,-1.0192,2.6074,-1.4112
2.6074,-1.4112,2.5353,-1.8032
2.5353,-1.8032,2.4475,-2.1952
2.4475,-2.1952,2.3440,-2.5872
2.3440,-2.5872,2.2248,-2.9792
2.2248,-2.9792,2.0900,-3.3712
2.0900,-3.3712,1.9394,-3.7632
1.9394,-3.7632,1.7732,-4.1552
1.7732,-4.1552,1.5913,-4.5472
1.5913,-4.5472,1.3938,-4.9392
1.3938,-4.9392,1.1805,-5.3312
1.1805,-5.3312,0.9516,-5.7232
0.9516,-5.7232,0.7070,-6.1152
0.7070,-6.1152,0.5000,3.9043
0.5000,3.9043,0.6405,3.5123
0.6405,3.5123,0.7653,3.1203
0.7653,3.1203,0.8744,2.7283
0.8744,2.7283,0.9679,2.3363
0.9679,2.3363,1.0457,1.9443
1.0457,1.9443,1.1078,1.5523
1.1078,1.5523,1.1542,1.1603
1.1542,1.1603,1.1849,0.7683
1.1849,0.7683,1.2000,0.3763
1.2000,0.3763,1.1993,-0.0157
1.1993,-0.0157,1.1830,-0.4077
1.1830,-0.4077,1.1510,-0.7997
1.1510,-0.7997,1.1034,-1.1917
1.1034,-1.1917,1.0400,-1.5837
1.0400,-1.5837,0.9610,-1.9757
0.9610,-1.9757,0.8663,-2.3677
0.8663,-2.3677,0.7559,-2.7597
0.7559,-2.7597,0.6298,-3.1517
0.6298,-3.1517,0.5000,2.1262
0.5000,2.1262,0.5694,1.7342
0.5694,1.7342,0.6231,1.3422
0.6231,1.3422,0.6611,0.9502
0.6611,0.9502,0.6834,0.5582
0.6834,0.5582,0.6900,0.1662
0.6900,0.1662,0.6810,-0.2258
0.6810,-0.2258,0.6563,-0.6178
0.6563,-0.6178,0.6159,-1.0098
0.6159,-1.0098,0.5598,-1.4018
0.5598,-1.4018,0.5000,1.0763
0.5000,1.0763,0.5274,0.6843
0.5274,0.6843,0.5391,0.2923
0.5391,0.2923,0.5351,-0.0997
0.5351,-0.0997,0.5154,-0.4917
0.5154,-0.4917,0.5000,0.5302
0.5000,0.5302,0.5055,0.1382
0.5055,0.1382,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
