x1,y1,vx1,vy1,x2,y2,vx2,vy2
2.8696,0.3764,-0.0004,-0.0002,-2.7971,-3.2280,0.0004,0.0002
2.8696,0.3764,-0.0007,-0.0005,-2.7971,-3.2280,0.0007,0.0005
2.8696,0.3764,-0.0011,-0.0007,-2.7971,-3.2280,0.0011,0.0007
2.8696,0.3764,-0.0015,-0.0010,-2.7970,-3.2280,0.0015,0.0010
2.8695,0.3764,-0.0019,-0.0012,-2.7970,-3.2280,0.0019,0.0012
2.8695,0.3763,-0.0022,-0.0014,-2.7970,-3.2279,0.0022,0.0014
2.8694,0.3763,-0.0026,-0.0017,-2.7969,-3.2279,0.0026,0.0017
2.8694,0.3763,-0.0030,-0.0019,-2.7969,-3.2279,0.0030,0.0019
2.8693,0.3762,-0.0034,-0.0021,-2.7968,-3.2278,0.0034,0.0021
2.8692,0.3762,-0.0037,-0.0024,-2.7967,-3.2278,0.0037,0.0024
2.8692,0.3761,-0.0041,-0.0026,-2.7966,-3.2277,0.0041,0.0026
2.8691,0.3761,-0.0045,-0.0029,-2.7965,-3.2277,0.0045,0.0029
2.8690,0.3760,-0.0049,-0.0031,-2.7964,-3.2276,0.0049,0.0031
2.8689,0.3759,-0.0052,-0.0033,-2.7963,-3.2275,0.0052,0.0033
2.8687,0.3759,-0.0056,-0.0036,-2.7962,-3.2275,0.0056,0.0036
2.8686,0.3758,-0.0060,-0.0038,-2.7961,-3.2274,0.0060,0.0038
2.8685,0.3757,-0.0064,-0.0040,-2.7960,-3.2273,0.0064,0.0040
2.8684,0.3756,-0.0067,-0.0043,-2.7958,-3.2272,0.0067,0.0043
2.8682,0.3755,-0.0071,-0.0045,-2.7957,-3.2271,0.0071,0.0045
2.8681,0.3754,-0.0075,-0.0048,-2.7955,-3.2270,0.0075,0.0048
2.8679,0.3753,-0.0079,-0.0050,-2.7954,-3.2269,0.0079,0.0050
2.8678,0.3752,-0.0082,-0.0052,-2.7952,-3.2268,0.0082,0.0052
2.8676,0.3751,-0.0086,-0.0055,-2.7951,-3.2267,0.0086,0.0055
2.8674,0.3750,-0.0090,-0.0057,-2.7949,-3.2266,0.0090,0.0057
2.8672,0.3749,-0.0094,-0.0060,-2.7947,-3.2265,0.0094,0.0060
2.8670,0.3748,-0.0097,-0.0062,-2.7945,-3.2264,0.0097,0.0062
2.8668,0.3746,-0.0101,-0.0064,-2.7943,-3.2262,0.0101,0.0064
2.8666,0.3745,-0.0105,-0.0067,-2.7941,-3.2261,0.0105,0.0067
2.8664,0.3744,-0.0109,-0.0069,-2.7939,-3.2260,0.0109,0.0069
2.8662,0.3742,-0.0112,-0.0071,-2.7936,-3.2258,0.0112,0.0071
2.8659,0.3741,-0.0116,-0.0074,-2.7934,-3.2257,0.0116,0.0074
2.8657,0.3739,-0.0120,-0.0076,-2.7932,-3.2255,0.0120,0.0076
2.8654,0.3738,-0.0124,-0.0079,-2.7929,-3.2254,0.0124,0.0079
2.8652,0.3736,-0.0127,-0.0081,-2.7927,-3.2252,0.0127,0.0081
2.8649,0.3734,-0.0131,-0.0083,-2.7924,-3.2250,0.0131,0.0083
2.8647,0.3733,-0.0135,-0.0086,-2.7921,-3.2249,0.0135,0.0086
2.8644,0.3731,-0.0139,-0.0088,-2.7919,-3.2247,0.0139,0.0088
2.8641,0.3729,-0.0142,-0.0091,-2.7916,-3.2245,0.0142,0.0091
2.8638,0.3727,-0.0146,-0.0093,-2.7913,-3.2243,0.0146,0.0093
2.8635,0.3725,-0.0150,-0.0095,-2.7910,-3.2241,0.0150,0.0095
2.8632,0.3723,-0.0154,-0.0098,-2.7907,-3.2239,0.0154,0.0098
2.8629,0.3721,-0.0157,-0.0100,-2.7904,-3.2237,0.0157,0.0100
2.8626,0.3719,-0.0161,-0.0102,-2.7900,-3.2235,0.0161,0.0103
2.8622,0.3717,-0.0165,-0.0105,-2.7897,-3.2233,0.0165,0.0105
2.8619,0.3715,-0.0169,-0.0107,-2.7894,-3.2231,0.0169,0.0107
2.8615,0.3713,-0.0172,-0.0110,-2.7890,-3.2229,0.0172,0.0110
2.8612,0.3711,-0.0176,-0.0112,-2.7887,-3.2227,0.0176,0.0112
2.8608,0.3708,-0.0180,-0.0114,-2.7883,-3.2224,0.0180,0.0114
2.8605,0.3706,-0.0184,-0.0117,-2.7879,-3.2222,0.0184,0.0117
2.8601,0.3704,-0.0187,-0.0119,-2.7876,-3.2220,0.0187,0.0119
2.8597,0.3701,-0.0191,-0.0122,-2.7872,-3.2217,0.0191,0.0122
2.8593,0.3699,-0.0195,-0.0124,-2.7868,-3.2215,0.0195,0.0124
2.8589,0.3696,-0.0199,-0.0126,-2.7864,-3.2212,0.0199,0.0126
2.8585,0.3694,-0.0203,-0.0129,-2.7860,-3.2210,0.0203,0.0129
2.8581,0.3691,-0.0206,-0.0131,-2.7856,-3.2207,0.0206,0.0131
2.8577,0.3688,-0.0210,-0.0134,-2.7852,-3.2204,0.0210,0.0134
2.8573,0.3686,-0.0214,-0.0136,-2.7847,-3.2202,0.0214,0.0136
2.8568,0.3683,-0.0218,-0.0138,-2.7843,-3.2199,0.0218,0.0138
2.8564,0.3680,-0.0221,-0.0141,-2.7839,-3.2196,0.0221,0.0141
2.8559,0.3677,-0.0225,-0.0143,-2.7834,-3.2193,0.0225,0.0143
2.8555,0.3674,-0.0229,-0.0146,-2.7829,-3.2190,0.0229,0.0146
2.8550,0.3671,-0.0233,-0.0148,-2.7825,-3.2187,0.0233,0.0148
2.8545,0.3668,-0.0237,-0.0150,-2.7820,-3.2184,0.0237,0.0150
2.8541,0.3665,-0.0240,-0.0153,-2.7815,-3.2181,0.0240,0.0153
2.8536,0.3662,-0.0244,-0.0155,-2.7810,-3.2178,0.0244,0.0155
2.8531,0.3659,-0.0248,-0.0158,-2.7805,-3.2175,0.0248,0.0158
2.8526,0.3656,-0.0252,-0.0160,-2.7800,-3.2172,0.0252,0.0160
2.8521,0.3652,-0.0255,-0.0162,-2.7795,-3.2168,0.0255,0.0163
2.8515,0.3649,-0.0259,-0.0165,-2.7790,-3.2165,0.0259,0.0165
2.8510,0.3646,-0.0263,-0.0167,-2.7785,-3.2162,0.0263,0.0167
2.8505,0.3642,-0.0267,-0.0170,-2.7779,-3.2158,0.0267,0.0170
2.8499,0.3639,-0.0271,-0.0172,-2.7774,-3.2155,0.0271,0.0172
2.8494,0.3635,-0.0274,-0.0175,-2.7769,-3.2152,0.0274,0.0175
2.8488,0.3632,-0.0278,-0.0177,-2.7763,-3.2148,0.0278,0.0177
2.8483,0.3628,-0.0282,-0.0179,-2.7757,-3.2144,0.0282,0.0179
2.8477,0.3625,-0.0286,-0.0182,-2.7752,-3.2141,0.0286,0.0182
2.8471,0.3621,-0.0290,-0.0184,-2.7746,-3.2137,0.0290,0.0184
2.8465,0.3617,-0.0293,-0.0187,-2.7740,-3.2133,0.0293,0.0187
2.8459,0.3614,-0.0297,-0.0189,-2.7734,-3.2130,0.0297,0.0189
2.8453,0.3610,-0.0301,-0.0191,-2.7728,-3.2126,0.0301,0.0191
2.8447,0.3606,-0.0305,-0.0194,-2.7722,-3.2122,0.0305,0.0194
2.8441,0.3602,-0.0309,-0.0196,-2.7716,-3.2118,0.0309,0.0196
2.8435,0.3598,-0.0312,-0.0199,-2.7710,-3.2114,0.0312,0.0199
2.8428,0.3594,-0.0316,-0.0201,-2.7703,-3.2110,0.0316,0.0201
2.8422,0.3590,-0.0320,-0.0204,-2.7697,-3.2106,0.0320,0.0204
2.8416,0.3586,-0.0324,-0.0206,-2.7690,-3.2102,0.0324,0.0206
2.8409,0.3582,-0.0328,-0.0208,-2.7684,-3.2098,0.0328,0.0208
2.8402,0.3577,-0.0332,-0.0211,-2.7677,-3.2093,0.0332,0.0211
2.8396,0.3573,-0.0335,-0.0213,-2.7670,-3.2089,0.0335,0.0213
2.8389,0.3569,-0.0339,-0.0216,-2.7664,-3.2085,0.0339,0.0216
2.8382,0.3564,-0.0343,-0.0218,-2.7657,-3.2080,0.0343,0.0218
2.8375,0.3560,-0.0347,-0.0221,-2.7650,-3.2076,0.0347,0.0221
2.8368,0.3556,-0.0351,-0.0223,-2.7643,-3.2072,0.0351,0.0223
2.8361,0.3551,-0.0354,-0.0225,-2.7636,-3.2067,0.0355,0.0225
2.8354,0.3546,-0.0358,-0.0228,-2.7629,-3.2062,0.0358,0.0228
2.8347,0.3542,-0.0362,-0.0230,-2.7621,-3.2058,0.0362,0.0230
2.8339,0.3537,-0.0366,-0.0233,-2.7614,-3.2053,0.0366,0.0233
2.8332,0.3532,-0.0370,-0.0235,-2.7607,-3.2048,0.0370,0.0235
2.8324,0.3528,-0.0374,-0.0238,-2.7599,-3.2044,0.0374,0.0238
2.8317,0.3523,-0.0377,-0.0240,-2.7592,-3.2039,0.0378,0.0240
2.8309,0.3518,-0.0381,-0.0243,-2.7584,-3.2034,0.0381,0.0243
2.8302,0.3513,-0.0385,-0.0245,-2.7576,-3.2029,0.0385,0.0245
2.8294,0.3508,-0.0389,-0.0247,-2.7568,-3.2024,0.0389,0.0247
2.8286,0.3503,-0.0393,-0.0250,-2.7561,-3.2019,0.0393,0.0250
2.8278,0.3498,-0.0397,-0.0252,-2.7553,-3.2014,0.0397,0.0252
2.8270,0.3493,-0.0401,-0.0255,-2.7545,-3.2009,0.0401,0.0255
2.8262,0.3488,-0.0404,-0.0257,-2.7537,-3.2004,0.0404,0.0257
2.8254,0.3483,-0.0408,-0.0260,-2.7528,-3.1999,0.0408,0.0260
2.8245,0.3477,-0.0412,-0.0262,-2.7520,-3.1993,0.0412,0.0262
2.8237,0.3472,-0.0416,-0.0265,-2.7512,-3.1988,0.0416,0.0265
2.8229,0.3467,-0.0420,-0.0267,-2.7503,-3.1983,0.0420,0.0267
2.8220,0.3461,-0.0424,-0.0270,-2.7495,-3.1977,0.0424,0.0270
2.8212,0.3456,-0.0428,-0.0272,-2.7486,-3.1972,0.0428,0.0272
