b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
-3.5593412,4.8609166,-0.33310625,0.07654868,-0.8019358,2.8302824,0.7458173,-0.2772154,1.1830513,-4.273326,-0.15908921,-0.17998989
-3.6265514,4.8649592,-0.35221794,0.05920605,-0.7918316,2.8334558,0.7814871,-0.26808855,1.1900983,-4.238862,-0.16115385,-0.20074578
-3.6945658,4.8684416,-0.37310532,0.04834796,-0.7881876,2.8439443,0.80184925,-0.24701425,1.1920274,-4.1993704,-0.17135024,-0.21972032
-3.7660625,4.8709197,-0.395435,0.040211122,-0.79355884,2.8600783,0.8115282,-0.2206983,1.1888082,-4.155282,-0.18364584,-0.23622425
-3.8431334,4.8718715,-0.41879833,0.033855032,-0.8090909,2.8807027,0.81331897,-0.19231221,1.1809462,-4.1065264,-0.19583851,-0.25038153
-3.925987,4.8716965,-0.44204226,0.02975173,-0.83444947,2.9041224,0.8105749,-0.16341355,1.169306,-4.052278,-0.2056616,-0.26275712
-4.015883,4.87023,-0.46550453,0.02763782,-0.8696489,2.9302046,0.8041884,-0.13472173,1.154692,-3.9921334,-0.21348369,-0.27387357
-4.1139426,4.8673773,-0.48959953,0.027343314,-0.9147992,2.9588592,0.79479086,-0.10640988,1.1378402,-3.9255466,-0.21954346,-0.2841776
-4.222713,4.8632026,-0.5143965,0.028721135,-0.96891737,2.9898555,0.7812636,-0.07837108,1.1188241,-3.8511293,-0.22503722,-0.29325372
-4.3454556,4.8564677,-0.5418023,0.030883174,-1.0328137,3.0211625,0.76349664,-0.04901513,1.0997361,-3.7698982,-0.23035455,-0.30241805
-4.4842267,4.8469057,-0.5721495,0.033262145,-1.1072198,3.050787,0.74157405,-0.017449286,1.081797,-3.6815984,-0.23612463,-0.31237024
-4.640227,4.835654,-0.60520613,0.034851473,-1.1921941,3.0755894,0.7149385,0.017666016,1.0654949,-3.58543,-0.2425586,-0.32399833
-4.8114333,4.827658,-0.64009047,0.031052839,-1.2838966,3.087729,0.68076575,0.06043372,1.0505143,-3.4813716,-0.24674797,-0.33777004
-4.98858,4.8203607,-0.6811075,0.025975388,-1.3760704,3.0873883,0.6446028,0.11007336,1.0394694,-3.3709004,-0.24938953,-0.3498128
-5.1748013,4.8084617,-0.72697103,0.021292236,-1.4734894,3.077391,0.60734963,0.16515258,1.0292506,-3.251859,-0.25210524,-0.35648853
-5.3727727,4.795815,-0.7831354,0.020795133,-1.579884,3.0598154,0.5718181,0.22001562,1.020264,-3.1179316,-0.25697064,-0.35844332
-5.584127,4.784251,-0.84569293,0.02534635,-1.6980528,3.0369854,0.53670895,0.27415478,1.0135919,-2.9650028,-0.26015824,-0.357135
-5.805015,4.7768607,-0.9120017,0.029870968,-1.8360378,3.0140312,0.5025542,0.33163714,1.0035918,-2.7927744,-0.25852275,-0.35429305
-6.0334334,4.7804437,-0.979982,0.039050203,-1.988377,2.9934967,0.46685696,0.38860354,0.98602766,-2.6028254,-0.24597973,-0.3496583
-6.2682834,4.785482,-1.0522494,0.051775288,-2.150518,2.9815273,0.42328057,0.4485452,0.9575322,-2.3924816,-0.2248978,-0.34463036
-6.5028267,4.784764,-1.1273837,0.07367952,-2.314797,2.9867811,0.36510506,0.5118814,0.9187713,-2.1705084,-0.20143211,-0.3267234
-6.7294908,4.7757006,-1.1931996,0.10825534,-2.486501,3.007539,0.2953969,0.5703375,0.8808393,-1.9482088,-0.16215372,-0.3010375
-6.952527,4.747352,-1.254797,0.15982215,-2.6596553,3.047446,0.21810624,0.6153546,0.8528081,-1.7137773,-0.105484076,-0.26611608
-7.16762,4.70266,-1.3145983,0.22980694,-2.823649,3.1126254,0.13678238,0.64764595,0.84131646,-1.4590681,-0.036668606,-0.21812625
-7.3687387,4.6503034,-1.3823311,0.31191978,-2.9746704,3.1987984,0.053485423,0.6639622,0.84926265,-1.1831222,0.0393525,-0.16733475
-7.555725,4.596415,-1.4533478,0.40059882,-3.1130002,3.3110278,-0.025476485,0.675223,0.87067324,-0.8932942,0.11389571,-0.12368746
-7.7330766,4.540089,-1.5163943,0.49308968,-3.24579,3.439551,-0.10348508,0.6996895,0.88546604,-0.5945591,0.17405623,-0.100406244
-7.8914914,4.49262,-1.5760503,0.5934435,-3.3661969,3.5983684,-0.17067096,0.7422516,0.9168904,-0.29483038,0.22500342,-0.098155096
-8.023646,4.4602294,-1.6284299,0.6861543,-3.487355,3.7942846,-0.23147401,0.7951597,0.97015744,0.009077758,0.27363226,-0.109343246
