b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
2.502620,5.170639,0.000417,-0.001007,-0.127834,-2.992599,0.000420,0.000533,5.095937,1.283497,-0.000837,0.000473
2.502629,5.170619,0.000834,-0.002013,-0.127826,-2.992589,0.000840,0.001066,5.095920,1.283506,-0.001673,0.000947
2.502641,5.170588,0.001250,-0.003020,-0.127813,-2.992573,0.001259,0.001600,5.095895,1.283520,-0.002510,0.001420
2.502658,5.170548,0.001667,-0.004026,-0.127797,-2.992551,0.001679,0.002133,5.095861,1.283539,-0.003346,0.001893
2.502679,5.170498,0.002084,-0.005033,-0.127776,-2.992525,0.002099,0.002666,5.095819,1.283563,-0.004183,0.002367
2.502704,5.170437,0.002501,-0.006039,-0.127750,-2.992493,0.002519,0.003199,5.095769,1.283591,-0.005019,0.002840
2.502733,5.170367,0.002917,-0.007046,-0.127721,-2.992455,0.002939,0.003732,5.095711,1.283624,-0.005856,0.003314
2.502766,5.170286,0.003334,-0.008053,-0.127687,-2.992413,0.003358,0.004266,5.095644,1.283662,-0.006693,0.003787
2.502804,5.170196,0.003751,-0.009060,-0.127650,-2.992365,0.003778,0.004799,5.095569,1.283705,-0.007530,0.004261
2.502845,5.170095,0.004168,-0.010066,-0.127608,-2.992311,0.004198,0.005332,5.095485,1.283752,-0.008366,0.004734
2.502891,5.169984,0.004585,-0.011073,-0.127561,-2.992253,0.004618,0.005866,5.095393,1.283804,-0.009203,0.005208
2.502941,5.169864,0.005002,-0.012080,-0.127511,-2.992189,0.005038,0.006399,5.095293,1.283861,-0.010040,0.005682
2.502995,5.169733,0.005419,-0.013087,-0.127456,-2.992119,0.005458,0.006932,5.095184,1.283923,-0.010877,0.006155
2.503054,5.169592,0.005836,-0.014095,-0.127398,-2.992045,0.005877,0.007466,5.095067,1.283989,-0.011714,0.006629
2.503116,5.169441,0.006253,-0.015102,-0.127335,-2.991965,0.006297,0.007999,5.094941,1.284060,-0.012551,0.007103
2.503183,5.169280,0.006670,-0.016109,-0.127268,-2.991879,0.006717,0.008532,5.094807,1.284136,-0.013388,0.007577
2.503254,5.169108,0.007088,-0.017117,-0.127196,-2.991789,0.007137,0.009066,5.094665,1.284216,-0.014225,0.008051
2.503329,5.168927,0.007505,-0.018124,-0.127121,-2.991693,0.007557,0.009599,5.094514,1.284302,-0.015063,0.008525
2.503408,5.168736,0.007922,-0.019132,-0.127041,-2.991591,0.007977,0.010133,5.094356,1.284392,-0.015900,0.009000
2.503491,5.168535,0.008340,-0.020140,-0.126957,-2.991485,0.008397,0.010667,5.094188,1.284486,-0.016737,0.009474
2.503579,5.168323,0.008757,-0.021148,-0.126869,-2.991373,0.008817,0.011200,5.094012,1.284586,-0.017575,0.009948
2.503671,5.168101,0.009174,-0.022156,-0.126776,-2.991255,0.009237,0.011734,5.093828,1.284690,-0.018413,0.010423
2.503767,5.167870,0.009592,-0.023164,-0.126680,-2.991132,0.009657,0.012268,5.093636,1.284799,-0.019250,0.010898
2.503867,5.167628,0.010010,-0.024173,-0.126579,-2.991004,0.010077,0.012801,5.093435,1.284913,-0.020088,0.011373
2.503971,5.167376,0.010427,-0.025182,-0.126474,-2.990871,0.010498,0.013335,5.093225,1.285031,-0.020926,0.011847
2.504079,5.167114,0.010845,-0.026190,-0.126365,-2.990732,0.010918,0.013869,5.093008,1.285154,-0.021764,0.012323
2.504192,5.166842,0.011263,-0.027199,-0.126251,-2.990588,0.011338,0.014403,5.092782,1.285282,-0.022602,0.012798
2.504309,5.166560,0.011681,-0.028209,-0.126134,-2.990439,0.011758,0.014937,5.092547,1.285415,-0.023441,0.013273
2.504430,5.166268,0.012099,-0.029218,-0.126012,-2.990284,0.012178,0.015471,5.092305,1.285553,-0.024279,0.013749
2.504555,5.165966,0.012517,-0.030228,-0.125886,-2.990124,0.012599,0.016005,5.092053,1.285695,-0.025118,0.014224
2.504684,5.165653,0.012936,-0.031238,-0.125756,-2.989959,0.013019,0.016539,5.091794,1.285842,-0.025956,0.014700
2.504818,5.165331,0.013354,-0.032248,-0.125622,-2.989788,0.013439,0.017073,5.091526,1.285994,-0.026795,0.015176
2.504956,5.164999,0.013773,-0.033258,-0.125483,-2.989612,0.013860,0.017608,5.091249,1.286150,-0.027634,0.015652
2.505097,5.164656,0.014191,-0.034268,-0.125340,-2.989431,0.014280,0.018142,5.090965,1.286311,-0.028473,0.016128
2.505244,5.164303,0.014610,-0.035279,-0.125193,-2.989244,0.014701,0.018676,5.090672,1.286477,-0.029312,0.016605
2.505394,5.163940,0.015029,-0.036290,-0.125042,-2.989052,0.015121,0.019211,5.090370,1.286648,-0.030152,0.017082
2.505548,5.163567,0.015448,-0.037302,-0.124886,-2.988854,0.015542,0.019745,5.090060,1.286824,-0.030991,0.017558
2.505707,5.163184,0.015867,-0.038313,-0.124727,-2.988652,0.015962,0.020280,5.089742,1.287004,-0.031831,0.018035
2.505870,5.162791,0.016286,-0.039325,-0.124563,-2.988443,0.016383,0.020815,5.089415,1.287189,-0.032671,0.018513
2.506037,5.162387,0.016705,-0.040337,-0.124395,-2.988230,0.016803,0.021349,5.089080,1.287379,-0.033511,0.018990
2.506208,5.161974,0.017125,-0.041349,-0.124223,-2.988011,0.017224,0.021884,5.088737,1.287574,-0.034352,0.019468
2.506384,5.161551,0.017544,-0.042362,-0.124046,-2.987787,0.017645,0.022419,5.088385,1.287773,-0.035192,0.019946
2.506563,5.161117,0.017964,-0.043375,-0.123866,-2.987557,0.018066,0.022954,5.088024,1.287978,-0.036033,0.020424
2.506747,5.160673,0.018384,-0.044389,-0.123681,-2.987323,0.018487,0.023489,5.087656,1.288187,-0.036874,0.020902
2.506935,5.160219,0.018804,-0.045402,-0.123492,-2.987082,0.018908,0.024025,5.087278,1.288400,-0.037715,0.021381
2.507127,5.159755,0.019224,-0.046416,-0.123298,-2.986837,0.019328,0.024560,5.086893,1.288619,-0.038556,0.021860
2.507324,5.159280,0.019645,-0.047430,-0.123101,-2.986586,0.019750,0.025095,5.086499,1.288842,-0.039397,0.022339
2.507524,5.158796,0.020065,-0.048445,-0.122899,-2.986329,0.020171,0.025631,5.086096,1.289071,-0.040239,0.022818
2.507729,5.158301,0.020486,-0.049460,-0.122693,-2.986068,0.020592,0.026166,5.085685,1.289304,-0.041081,0.023297
2.507938,5.157796,0.020906,-0.050475,-0.122483,-2.985801,0.021013,0.026702,5.085266,1.289541,-0.041923,0.023777
2.508152,5.157281,0.021327,-0.051491,-0.122269,-2.985528,0.021434,0.027238,5.084838,1.289784,-0.042765,0.024257
2.508369,5.156756,0.021749,-0.052507,-0.122050,-2.985250,0.021855,0.027774,5.084402,1.290031,-0.043608,0.024738
2.508591,5.156221,0.022170,-0.053524,-0.121828,-2.984967,0.022277,0.028310,5.083958,1.290283,-0.044451,0.025218
2.508817,5.155676,0.022591,-0.054540,-0.121601,-2.984679,0.022698,0.028846,5.083505,1.290540,-0.045294,0.025699
2.509047,5.155120,0.023013,-0.055558,-0.121369,-2.984385,0.023120,0.029382,5.083043,1.290802,-0.046137,0.026180
2.509281,5.154555,0.023435,-0.056575,-0.121134,-2.984086,0.023541,0.029919,5.082573,1.291069,-0.046981,0.026662
2.509520,5.153979,0.023857,-0.057593,-0.120894,-2.983782,0.023963,0.030455,5.082095,1.291340,-0.047825,0.027144
2.509763,5.153393,0.024279,-0.058612,-0.120650,-2.983472,0.024384,0.030992,5.081608,1.291617,-0.048669,0.027626
2.510010,5.152796,0.024702,-0.059631,-0.120402,-2.983156,0.024806,0.031528,5.081113,1.291898,-0.049513,0.028108
2.510261,5.152190,0.025124,-0.060650,-0.120150,-2.982836,0.025228,0.032065,5.080610,1.292184,-0.050357,0.028591
2.510517,5.151573,0.025547,-0.061670,-0.119894,-2.982510,0.025650,0.032602,5.080098,1.292474,-0.051202,0.029074
2.510776,5.150946,0.025970,-0.062690,-0.119633,-2.982178,0.026072,0.033139,5.079577,1.292770,-0.052047,0.029557
2.511040,5.150309,0.026393,-0.063711,-0.119368,-2.981842,0.026494,0.033676,5.079048,1.293070,-0.052893,0.030041
2.511308,5.149662,0.026817,-0.064732,-0.119099,-2.981500,0.026916,0.034214,5.078511,1.293375,-0.053739,0.030525
2.511581,5.149004,0.027240,-0.065753,-0.118825,-2.981152,0.027338,0.034751,5.077965,1.293686,-0.054585,0.031009
2.511858,5.148336,0.027664,-0.066775,-0.118548,-2.980799,0.027760,0.035289,5.077411,1.294001,-0.055431,0.031494
2.512138,5.147658,0.028088,-0.067798,-0.118266,-2.980441,0.028182,0.035826,5.076848,1.294320,-0.056278,0.031979
2.512424,5.146970,0.028513,-0.068821,-0.117980,-2.980077,0.028605,0.036364,5.076277,1.294645,-0.057124,0.032464
2.512713,5.146272,0.028937,-0.069844,-0.117690,-2.979708,0.029027,0.036902,5.075697,1.294974,-0.057972,0.032950
2.513007,5.145563,0.029362,-0.070869,-0.117395,-2.979334,0.029450,0.037440,5.075109,1.295309,-0.058819,0.033436
2.513304,5.144844,0.029787,-0.071893,-0.117096,-2.978954,0.029872,0.037979,5.074512,1.295648,-0.059667,0.033923
2.513607,5.144115,0.030212,-0.072918,-0.116794,-2.978569,0.030295,0.038517,5.073907,1.295992,-0.060515,0.034409
2.513913,5.143375,0.030638,-0.073944,-0.116486,-2.978178,0.030718,0.039056,5.073293,1.296341,-0.061364,0.034897
2.514224,5.142626,0.031064,-0.074970,-0.116175,-2.977782,0.031141,0.039594,5.072671,1.296695,-0.062213,0.035384
2.514539,5.141866,0.031490,-0.075997,-0.115859,-2.977381,0.031563,0.040133,5.072041,1.297054,-0.063062,0.035872
2.514858,5.141096,0.031916,-0.077024,-0.115539,-2.976974,0.031986,0.040672,5.071402,1.297417,-0.063911,0.036361
2.515181,5.140315,0.032343,-0.078052,-0.115215,-2.976562,0.032410,0.041211,5.070754,1.297786,-0.064761,0.036850
2.515509,5.139524,0.032769,-0.079080,-0.114887,-2.976145,0.032833,0.041751,5.070098,1.298159,-0.065611,0.037339
2.515841,5.138723,0.033196,-0.080109,-0.114554,-2.975722,0.033256,0.042290,5.069433,1.298537,-0.066462,0.037829
2.516177,5.137912,0.033624,-0.081139,-0.114218,-2.975293,0.033679,0.042830,5.068760,1.298920,-0.067313,0.038319
2.516517,5.137090,0.034051,-0.082169,-0.113877,-2.974860,0.034103,0.043370,5.068078,1.299309,-0.068164,0.038810
2.516862,5.136258,0.034479,-0.083200,-0.113531,-2.974421,0.034526,0.043910,5.067388,1.299702,-0.069016,0.039301
2.517211,5.135416,0.034907,-0.084231,-0.113182,-2.973976,0.034950,0.044450,5.066689,1.300099,-0.069868,0.039792
2.517565,5.134563,0.035336,-0.085263,-0.112828,-2.973526,0.035374,0.044990,5.065982,1.300502,-0.070720,0.040284
2.517922,5.133700,0.035765,-0.086296,-0.112470,-2.973071,0.035798,0.045531,5.065267,1.300910,-0.071573,0.040777
