b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
0.41920555,4.775078,-0.26728833,-0.9311425,5.9475985,0.5090657,0.25258374,0.29186532,-3.3711379,1.5720106,0.4717056,-0.10041571
0.416957,4.7659316,-0.26750863,-0.9319169,5.9501348,0.51217866,0.25205573,0.29366788,-3.3658733,1.571567,0.4724722,-0.100921586
0.41470727,4.7567763,-0.26773328,-0.932704,5.952663,0.51530874,0.25150874,0.29545063,-3.360605,1.5711174,0.4732625,-0.10139592
0.41245636,4.7476125,-0.2679621,-0.93350357,5.955183,0.5184557,0.2509431,0.29721317,-3.3553329,1.5706621,0.47407582,-0.101838544
0.4102042,4.7384396,-0.26819485,-0.9343155,5.9576945,0.5216193,0.25035918,0.29895517,-3.3500564,1.5702015,0.47491157,-0.10224931
0.4079508,4.729258,-0.26843137,-0.93513954,5.9601974,0.5247994,0.24975738,0.30067626,-3.3447754,1.569736,0.4757691,-0.10262806
0.4056961,4.7200675,-0.2686714,-0.9359755,5.9626913,0.5279957,0.24913807,0.3023761,-3.33949,1.5692658,0.47664773,-0.10297466
0.40344006,4.7108674,-0.26891473,-0.9368231,5.965176,0.531208,0.24850163,0.30405432,-3.3341994,1.5687915,0.4775468,-0.10328898
0.40118268,4.7016582,-0.26916113,-0.9376822,5.967652,0.534436,0.24784845,0.30571055,-3.328904,1.5683134,0.47846568,-0.10357089
0.39892393,4.6924396,-0.2694104,-0.93855256,5.9701185,0.5376795,0.24717891,0.30734447,-3.3236032,1.5678318,0.47940364,-0.10382029
0.3966638,4.6832113,-0.26966226,-0.9394339,5.9725757,0.5409382,0.2464934,0.3089557,-3.3182967,1.567347,0.48036003,-0.10403705
0.39440227,4.6739736,-0.26991653,-0.940326,5.975023,0.54421186,0.2457923,0.31054392,-3.3129845,1.5668596,0.48133418,-0.104221076
0.3921393,4.664726,-0.27017295,-0.94122857,5.9774604,0.5475003,0.245076,0.31210876,-3.3076665,1.5663698,0.4823254,-0.10437228
0.38987485,4.655468,-0.27043128,-0.9421414,5.979888,0.5508032,0.2443449,0.31364986,-3.3023424,1.5658779,0.483333,-0.10449057
0.38760895,4.6462007,-0.27069125,-0.9430643,5.9823055,0.55412024,0.2435994,0.3151669,-3.297012,1.5653845,0.48435628,-0.10457588
0.38534155,4.636923,-0.27095264,-0.94399685,5.9847126,0.55745125,0.24283987,0.3166595,-3.2916753,1.5648898,0.48539457,-0.10462814
0.38307267,4.627635,-0.2712152,-0.94493884,5.987109,0.5607959,0.24206673,0.31812736,-3.286332,1.5643942,0.48644713,-0.10464728
0.3808023,4.618337,-0.27147913,-0.9458901,5.9894958,0.56415397,0.24128054,0.31957,-3.2809815,1.5638981,0.48751357,-0.104633085
0.3785304,4.6090293,-0.27174753,-0.94685113,5.991872,0.5675251,0.24048305,0.3209862,-3.2756243,1.5634016,0.4885954,-0.104584314
0.376257,4.5997114,-0.27202022,-0.94782156,5.9942374,0.57090896,0.2396747,0.32237563,-3.2702596,1.5629051,0.48969194,-0.10450089
0.37398198,4.5903835,-0.27229702,-0.9488011,5.9965925,0.5743053,0.23885599,0.32373783,-3.2648876,1.5624089,0.4908025,-0.10438275
0.37170532,4.581046,-0.27257943,-0.94978976,5.998937,0.57771426,0.23802723,0.32507497,-3.259508,1.5619137,0.49192762,-0.104232185
0.36942697,4.5716987,-0.27286732,-0.9507872,6.001271,0.5811355,0.23718886,0.32638675,-3.25412,1.5614198,0.4930667,-0.1040492
0.36714685,4.5623417,-0.27316055,-0.95179313,6.0035934,0.58456886,0.23634133,0.3276729,-3.2487242,1.5609276,0.49421906,-0.10383381
0.36486492,4.5529747,-0.27345896,-0.95280737,6.0059056,0.58801395,0.23548505,0.3289331,-3.2433202,1.5604373,0.4953841,-0.103586026
0.3625811,4.5435977,-0.2737624,-0.9538295,6.008207,0.59147054,0.23462047,0.33016708,-3.237908,1.5599494,0.49656114,-0.10330588
0.36029536,4.5342107,-0.2740707,-0.9548594,6.010497,0.59493834,0.23374802,0.33137456,-3.232487,1.5594642,0.49774954,-0.102993414
0.35800764,4.5248137,-0.27438372,-0.95589656,6.012776,0.5984171,0.23286813,0.33255523,-3.2270575,1.5589821,0.49894863,-0.10264866
0.35571793,4.515407,-0.27470088,-0.95694405,6.015044,0.6019064,0.23197873,0.33370632,-3.2216191,1.5585033,0.50015986,-0.102265954
0.35342616,4.5059905,-0.2750221,-0.958003,6.0173016,0.6054059,0.23107935,0.33482635,-3.216172,1.558028,0.50138336,-0.10184281
0.3511323,4.496564,-0.2753471,-0.95907307,6.019548,0.60891527,0.23017047,0.33591497,-3.210716,1.5575567,0.50261843,-0.10137922
