b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
0.287014,-2.390085,-0.001061,-0.007228,4.700911,2.334033,-0.000523,-0.000610,0.019497,-3.852980,0.001584,0.007838
0.286993,-2.390229,-0.002123,-0.014457,4.700900,2.334021,-0.001046,-0.001220,0.019528,-3.852823,0.003169,0.015678
0.286961,-2.390446,-0.003185,-0.021688,4.700884,2.334003,-0.001569,-0.001829,0.019576,-3.852588,0.004755,0.023521
0.286919,-2.390735,-0.004248,-0.028924,4.700863,2.333978,-0.002092,-0.002439,0.019639,-3.852274,0.006341,0.031369
0.286866,-2.391097,-0.005312,-0.036165,4.700837,2.333948,-0.002615,-0.003049,0.019719,-3.851882,0.007928,0.039223
0.286802,-2.391531,-0.006377,-0.043412,4.700806,2.333911,-0.003138,-0.003659,0.019814,-3.851411,0.009517,0.047084
0.286728,-2.392038,-0.007443,-0.050668,4.700769,2.333869,-0.003661,-0.004269,0.019925,-3.850861,0.011108,0.054954
0.286642,-2.392617,-0.008512,-0.057933,4.700727,2.333820,-0.004183,-0.004878,0.020052,-3.850233,0.012700,0.062834
0.286547,-2.393269,-0.009582,-0.065208,4.700680,2.333765,-0.004706,-0.005488,0.020195,-3.849526,0.014295,0.070725
0.286440,-2.393994,-0.010655,-0.072496,4.700627,2.333704,-0.005229,-0.006098,0.020354,-3.848740,0.015892,0.078629
0.286323,-2.394792,-0.011731,-0.079797,4.700570,2.333637,-0.005752,-0.006708,0.020529,-3.847874,0.017492,0.086547
0.286195,-2.395663,-0.012809,-0.087113,4.700507,2.333564,-0.006275,-0.007318,0.020720,-3.846929,0.019094,0.094480
0.286056,-2.396608,-0.013890,-0.094445,4.700438,2.333484,-0.006797,-0.007928,0.020927,-3.845905,0.020700,0.102431
0.285906,-2.397626,-0.014975,-0.101795,4.700365,2.333399,-0.007320,-0.008537,0.021150,-3.844801,0.022310,0.110399
0.285745,-2.398717,-0.016064,-0.109163,4.700287,2.333308,-0.007843,-0.009147,0.021389,-3.843617,0.023923,0.118388
0.285574,-2.399883,-0.017156,-0.116553,4.700203,2.333210,-0.008365,-0.009757,0.021644,-3.842353,0.025540,0.126398
0.285391,-2.401123,-0.018253,-0.123964,4.700115,2.333106,-0.008888,-0.010367,0.021916,-3.841009,0.027162,0.134430
0.285198,-2.402436,-0.019354,-0.131399,4.700021,2.332997,-0.009410,-0.010977,0.022204,-3.839584,0.028788,0.142487
0.284993,-2.403825,-0.020460,-0.138859,4.699922,2.332881,-0.009933,-0.011587,0.022508,-3.838079,0.030419,0.150569
0.284777,-2.405288,-0.021571,-0.146345,4.699817,2.332759,-0.010455,-0.012197,0.022829,-3.836492,0.032056,0.158679
0.284551,-2.406827,-0.022687,-0.153860,4.699708,2.332631,-0.010978,-0.012807,0.023166,-3.834824,0.033698,0.166818
0.284313,-2.408441,-0.023809,-0.161404,4.699593,2.332496,-0.011500,-0.013417,0.023519,-3.833074,0.035345,0.174987
0.284063,-2.410131,-0.024938,-0.168980,4.699472,2.332356,-0.012022,-0.014027,0.023889,-3.831242,0.036999,0.183189
